,GAIA,HD,name,method,year,period,radius,mass,k,ecc,peri,Tp,T0,Tc,i,MP_stability
45,Gaia DR3 1022456104850892928,HD79211,GJ 338 B b,Radial Velocity,2020,24.436,,10.435,3.13,0.1095,204.3,2457517.06,2457521.43,2457521.43,,100.0
46,Gaia DR3 1176209886733406592,HD128311,HD 128311 b,Radial Velocity,2002,453.74,,608.6284,62.4,0.3015,61.85,2450198.691,2455211.3,2455211.3,30.0,0.0
47,Gaia DR3 1176209886733406592,HD128311,HD 128311 c,Radial Velocity,2005,921.538,,1029.73,77.15,0.17,15.445,2450503.7765,2455219.0,2455219.0,55.95,0.0
48,Gaia DR3 1244571953471006720,HD120136,tau Boo b,Radial Velocity,1996,3.3125,,1366.6622,467.8,0.011,150.7,2451679.3794,2453104.828,2453104.83,44.5,100.0
49,Gaia DR3 1323427759184545536,HD143761,rho CrB b,Radial Velocity,1997,39.8435,,341.6655,67.28,0.0364,-25.0,2452949.8384,2455997.8645,2455997.86,,49.3
50,Gaia DR3 1323427759184545536,HD143761,rho CrB c,Radial Velocity,2016,102.54,,28.1278,4.0,0.052,16.0,2455609.0,2455417.7,2455417.7,,49.3
51,Gaia DR3 1323427759184545536,HD143761,rho CrB d,Radial Velocity,2023,282.2,,21.6,2.2,0.0,0.0,2455512.0,2455583.0,2455583.0,,49.3
52,Gaia DR3 1323427759184545536,HD143761,rho CrB e,Radial Velocity,2023,12.949,,3.79,1.14,0.126,-0.6,2455496.2,2455498.5,2455498.5,,49.3
53,Gaia DR3 1334288219648212352,HD155060,TOI-2128 b,Transit,2024,16.3414,2.3589,4.5,1.1,0.0,90.0,,2458987.2663,2458987.27,,100.0
54,Gaia DR3 1334643739861016832,HD155358,HD 155358 b,Radial Velocity,2007,194.3,,292.3258,32.0,0.17,143.0,2451224.8,,2451203.96,,0.0
55,Gaia DR3 1334643739861016832,HD155358,HD 155358 c,Radial Velocity,2007,391.9,,261.0,24.9,0.16,180.0,2455345.4,,2455267.3,,0.0
56,Gaia DR3 1359938520253565952,HD154345,HD 154345 b,Radial Velocity,2006,3341.7794,,309.386,15.5,0.042,68.0,2455725.0,2456384.0,2456384.0,69.0,100.0
57,Gaia DR3 1385293808145621504,HD145675,14 Her b,Radial Velocity,2002,1766.41,,1523.9589,89.791,0.3682,22.6,2449621.7815,2456834.4,2456834.4,144.652,11.9
58,Gaia DR3 1385293808145621504,HD145675,HD 145675 c,Radial Velocity,2021,20366.2294,,1720.2463,41.6075,0.4215,-1.1098,2436430.122,2454680.0,2454680.0,129.097,11.9
59,Gaia DR3 1398218223733415552,HD141399,HD 141399 b,Radial Velocity,2014,94.375,,143.6584,19.06,0.04,8.0,2454885.5,2455205.19,2455205.19,,2.2
60,Gaia DR3 1398218223733415552,HD141399,HD 141399 c,Radial Velocity,2014,201.99,,422.7139,43.51,0.048,25.0,2454751.12,2455626.02,2455626.02,,2.2
61,Gaia DR3 1398218223733415552,HD141399,HD 141399 d,Radial Velocity,2014,1070.35,,387.7526,22.63,0.06,-63.0,2454471.815,2454755.6,2454755.6,,2.2
62,Gaia DR3 1398218223733415552,HD141399,HD 141399 e,Radial Velocity,2014,3717.35,,209.7678,8.34,0.047,0.0,2454430.855,2455729.0,2455729.0,,2.2
63,Gaia DR3 1416050859226670848,HD158259,HD 158259 b,Radial Velocity,2020,2.178,1.2823,2.22,1.051,,,,2460338.5231,2460338.52,,
64,Gaia DR3 1416050859226670848,HD158259,HD 158259 c,Radial Velocity,2020,3.432,,5.6,2.261,,,,,,,
65,Gaia DR3 1416050859226670848,HD158259,HD 158259 d,Radial Velocity,2020,5.1981,,5.41,1.9071,,,,,,,
66,Gaia DR3 1416050859226670848,HD158259,HD 158259 e,Radial Velocity,2020,7.951,,6.08,1.8572,,,,,,,
67,Gaia DR3 1416050859226670848,HD158259,HD 158259 f,Radial Velocity,2020,12.028,,6.14,1.6333,,,,,,,
68,Gaia DR3 1646538011423566464,HD143105,HD 143105 b,Radial Velocity,2016,2.1974,,384.5743,144.0,0.07,,2456531.344,,,,100.0
69,Gaia DR3 1651268763282397312,HD162004,psi1 Dra B b,Radial Velocity,2015,3117.0,,486.2799,21.0,0.4,64.0,2449344.0,,2449434.19,,100.0
